계산일자,통화코드,시장평균환율
2020-05-04,USD,1218.5
2020-05-06,CNY,171.89
2020-05-06,EUR,1343.98
2020-05-06,JPY,1150.24
2020-05-06,USD,1227.8
2020-05-07,CNY,172.03
2020-05-07,EUR,1325.71
2020-05-07,JPY,1150.53
2020-05-07,USD,1223.3
2020-05-08,CNY,172.25
2020-05-08,EUR,1324.63
2020-05-08,JPY,1154.72
2020-05-08,USD,1226.5
2020-05-11,CNY,171.81
2020-05-11,EUR,1320.36
2020-05-11,JPY,1144.78
2020-05-11,USD,1217.7
2020-05-12,CNY,171.74
2020-05-12,EUR,1320.47
2020-05-12,JPY,1138.89
2020-05-12,USD,1217.8
2020-05-13,CNY,172.58
2020-05-13,EUR,1324.94
2020-05-13,JPY,1141.18
2020-05-13,USD,1226.7
2020-05-14,CNY,172.65
2020-05-14,EUR,1330.79
2020-05-14,JPY,1144.22
2020-05-14,USD,1226.3
2020-05-15,CNY,172.7
2020-05-15,EUR,1327.91
2020-05-15,JPY,1148.82
2020-05-15,USD,1227.9
2020-05-18,CNY,172.77
2020-05-18,EUR,1328.08
2020-05-18,JPY,1145.53
2020-05-18,USD,1229.3
2020-05-19,CNY,172.8
2020-05-19,EUR,1332.81
2020-05-19,JPY,1149.29
2020-05-19,USD,1231.6
2020-05-20,CNY,171.94
2020-05-20,EUR,1336.28
2020-05-20,JPY,1140.05
2020-05-20,USD,1224.5
2020-05-21,CNY,172.5
2020-05-21,EUR,1342.67
2020-05-21,JPY,1138.37
2020-05-21,USD,1227.8
2020-05-22,CNY,172.99
2020-05-22,EUR,1349.17
2020-05-22,JPY,1142.95
2020-05-22,USD,1230.7
2020-05-25,CNY,173.26
2020-05-25,EUR,1352.28
2020-05-25,JPY,1149.6
2020-05-25,USD,1236.2
2020-05-26,CNY,173.66
2020-05-26,EUR,1353.02
2020-05-26,JPY,1153.06
2020-05-26,USD,1242
2020-05-27,CNY,173.24
2020-05-27,EUR,1350.48
2020-05-27,JPY,1148.04
2020-05-27,USD,1237.1
2020-05-28,CNY,172.34
2020-05-28,EUR,1352.73
2020-05-28,JPY,1147.33
2020-05-28,USD,1233.7
2020-05-29,CNY,172.55
2020-05-29,EUR,1365.12
2020-05-29,JPY,1149.21
2020-05-29,USD,1239.4
2020-06-01,CNY,172.66
2020-06-01,EUR,1372.31
2020-06-01,JPY,1152.58
2020-06-01,USD,1237.6
2020-06-02,CNY,172.21
2020-06-02,EUR,1367.15
2020-06-02,JPY,1140.65
2020-06-02,USD,1227.8
2020-06-03,CNY,171.75
2020-06-03,EUR,1362.52
2020-06-03,JPY,1137.32
2020-06-03,USD,1224.1
2020-06-04,CNY,171.22
2020-06-04,EUR,1362.56
2020-06-04,JPY,1120.75
2020-06-04,USD,1216.9
2020-06-05,CNY,170.83
2020-06-05,EUR,1365.9
2020-06-05,JPY,1117.36
2020-06-05,USD,1217.4
2020-06-08,CNY,170.76
